codigo;nombre
1000;PREFISICA
1002;INTRODUCCION A FISICA
1003;COLOQUIO 1 DE FISICA
1005;COLOQUIO 2 DE FISICA
1012;FISICA BASICA 1
1013;LABORATORIO DE FISICA BASICA 1
1018;FISICA I
1019;FISICA EXPERIMENTAL I
1022;FISICA BASICA 2
1023;LABORATORIO DE FISICA BASICA 2
1028;FISICA II
1029;FISICA EXPERIMENTAL II
1038;ONDAS Y FLUIDOS
1039;LABORATORIO DE ONDAS Y FLUIDOS
1048;FISICA MODERNA
1049;LABORATORIO DE FISICA MODERNA
1860;ELECTRONICA PARA CIENCIAS
1914;TALLER DE ASTRONOMIA
2007;METODOS MATEMATICOS
2026;HERRAMIENTAS COMPUTACIONALES
2028;MÉTODOS COMPUTACIONALES
2029;LAB. MÉTODOS COMPUTACIONALES
2040;TERMODINAMICA
2051;LABORATORIO INTERMEDIO
2405;MECANICA
2432;ELECTROMAGNETISMO 1
2450;OPTICA MODERNA
3000;PRACTICA DOCENTE FISICA
3010;MECANICA CUANTICA I
3011;SEMINARIO DE FISICA TEORICA
3013;SEM.TEORIA CUANTICA DE CAMPOS
3020;MECANICA CUANTICA II
3036;TOP. ESP. EN MECANICA CUANTICA
3040;FISICA ESTADISTICA
3086;ESTRUCTURA DEL ESPACIO-TIEMPO
3098;MONOGRAFIA
3100;SEMINARIO DE INVESTIGACIÓN
3101;SEMINARIO DE ALTAS ENERGIAS
3152;FISICA DE PARTICULAS
3161;DETECTORES DE PARTÍCULAS
3401;SEMINARIO 1. OPTICA CUANTICA
3434;ELECTROMAGNETISMO 2
3701;SEMINARIO MATERIA CONDENSADA
3760;FISICA DEL ESTADO SOLIDO
3801;SEMINARIO DE BIOFISICA
3814;MICROSCOPIA MODERNA
3901;SEM.1 ASTRONOMIA Y ASTROFISICA
3991;PRACTIVA PROFESIONAL 6
3992;PRACTICA PROFESIONAL 3
3993;PRACTICA EMPRESARIAL I
4011;SEMINARIO 1 DE FISICA TEORICA
4012;SEMINARIO 2 DE FISICA TEORICA
4013;SEM1.TEORIA CUANTICA DE CAMPOS
4014;SEM2.TEORIA CUANTICA DE CAMPOS
4036;TOP. ESP. EN MECANICA CUANTICA
4040;MECANICA ESTADISTICA
4051;LABORATORIO AVANZADO
4086;ESTRUCTURA DEL ESPACIO-TIEMPO
4098;TRABAJO DE GRADO (1)
4099;TRABAJO DE GRADO (2)
4101;SEMINARIO 1 ALTAS ENERGIAS
4102;SEMINARIO 2 ALTAS ENERGIAS
4161;DETECTORES DE PARTÍCULAS
4163;ASTROFÍSICA DE PARTÍCULAS
4401;SEMINARIO DE OPTICA CUANTICA
4402;SEMINARIO 2 DE OPTICA CUANTICA
4430;ELECTRODINAMICA
4601;SEMINARIO 1 DE GEOFISICA
4602;SEMINARIO 2 DE GEOFISICA
4701;SEMINARIO 1 MATERIA CONDENSADA
4702;SEMINARIO 2 MATERIA CONDENSADA
4801;SEMINARIO 1 DE BIOFISICA
4802;SEMINARIO 2 DE BIOFISICA
4814;MICROSCOPIA MODERNA
4901;SEM.1 ASTRONOMIA Y ASTROFISICA
4902;SEM.2 ASTRONOMIA Y ASTROFISICA
4961;CURSO TUTORIAL I
4998;METODOS ASTROFISICOS AVANZADOS
6111;SEMINARIO AVANZADO 1
6112;SEMINARIO AVANZADO 2
6113;SEMINARIO AVANZADO 3
6114;SEMINARIO AVANZADO 4
6115;SEMINARIO AVANZADO 5
6116;SEMINARIO AVANZADO 6
6117;SEMINARIO AVANZADO 7
6118;SEMINARIO AVANZADO 8
6119;SEMINARIO AVANZADO 9
6201;INVESTIGACION 1
6202;INVESTIGACION 2
6961;CURSO DIRIGIDO I
6962;CURSO DIRIGIDO II
6970;EXAMEN DE CONOCIMIENTOS
6971;PASANTIA
6972;EXAMEN DE CANDIDATURA
6973;PASANTIA II
6974;PASANTIA III
6975;PASANTIA IV
6981;TESIS I
6982;TESIS II
6983;TESIS III
6984;TESIS IV
6985;TESIS V
6986;TESIS VI
6987;TESIS VII
6990;SUSTENTACIÓN DE TESIS
1000C;COMPL. PREFISICA
1004A;GRANDES IDEAS DE LA FISICA
1012C;COMPL. FÍSICA BÁSICA 1
1018C;COMPL. FÍSICA I
1022C;COMPL. FÍSICA BÁSICA 2
1028C;COMPL. FÍSICA II
1038C;COMPL. ONDAS Y FLUIDOS
1048C;COMPL. FÍSICA MODERNA
1060B;SIGLO DE ORO DE LA FÍSICA
1090A;COSMOS: EL UNIVERSO FISICO
1092A;ENERGIA UNA PERSPECTIVA GLOBAL
1612B;FÍSICA PARA FUTUROS PRESIDENTE
1801B;NANOTECNOLOGIA
1912B;MUNDOS LEJANOS
1913B;ASTROBIOLOGÍA: VIDA EN EL UNIV
1916B;ASTRONOMIA POPULAR
3814L;LAB. MICROSCOPIA MODERNA
4814L;LAB. MICROSCOPIA MODERNA
