codigo;nombre
FISI1000;PREFISICA
FISI1002;INTRODUCCION A FISICA
FISI1003;COLOQUIO 1 DE FISICA
FISI1005;COLOQUIO 2 DE FISICA
FISI1012;FISICA BASICA 1
FISI1013;LABORATORIO DE FISICA BASICA 1
FISI1018;FISICA I
FISI1019;FISICA EXPERIMENTAL I
FISI1022;FISICA BASICA 2
FISI1023;LABORATORIO DE FISICA BASICA 2
FISI1028;FISICA II
FISI1029;FISICA EXPERIMENTAL II
FISI1038;ONDAS Y FLUIDOS
FISI1039;LABORATORIO DE ONDAS Y FLUIDOS
FISI1048;FISICA MODERNA
FISI1049;LABORATORIO DE FISICA MODERNA
FISI1860;ELECTRONICA PARA CIENCIAS
FISI1914;TALLER DE ASTRONOMIA
FISI2007;METODOS MATEMATICOS
FISI2026;HERRAMIENTAS COMPUTACIONALES
FISI2028;MÉTODOS COMPUTACIONALES
FISI2029;LAB. MÉTODOS COMPUTACIONALES
FISI2040;TERMODINAMICA
FISI2051;LABORATORIO INTERMEDIO
FISI2405;MECANICA
FISI2432;ELECTROMAGNETISMO 1
FISI2450;OPTICA MODERNA
FISI3000;PRACTICA DOCENTE FISICA
FISI3010;MECANICA CUANTICA I
FISI3011;SEMINARIO DE FISICA TEORICA
FISI3013;SEM.TEORIA CUANTICA DE CAMPOS
FISI3020;MECANICA CUANTICA II
FISI3036;TOP. ESP. EN MECANICA CUANTICA
FISI3040;FISICA ESTADISTICA
FISI3086;ESTRUCTURA DEL ESPACIO-TIEMPO
FISI3098;MONOGRAFIA
FISI3100;SEMINARIO DE INVESTIGACIÓN
FISI3101;SEMINARIO DE ALTAS ENERGIAS
FISI3152;FISICA DE PARTICULAS
FISI3161;DETECTORES DE PARTÍCULAS
FISI3401;SEMINARIO 1. OPTICA CUANTICA
FISI3434;ELECTROMAGNETISMO 2
FISI3701;SEMINARIO MATERIA CONDENSADA
FISI3760;FISICA DEL ESTADO SOLIDO
FISI3801;SEMINARIO DE BIOFISICA
FISI3814;MICROSCOPIA MODERNA
FISI3901;SEM.1 ASTRONOMIA Y ASTROFISICA
FISI3991;PRACTIVA PROFESIONAL 6
FISI3992;PRACTICA PROFESIONAL 3
FISI3993;PRACTICA EMPRESARIAL I
FISI4011;SEMINARIO 1 DE FISICA TEORICA
FISI4012;SEMINARIO 2 DE FISICA TEORICA
FISI4013;SEM1.TEORIA CUANTICA DE CAMPOS
FISI4014;SEM2.TEORIA CUANTICA DE CAMPOS
FISI4036;TOP. ESP. EN MECANICA CUANTICA
FISI4040;MECANICA ESTADISTICA
FISI4051;LABORATORIO AVANZADO
FISI4086;ESTRUCTURA DEL ESPACIO-TIEMPO
FISI4098;TRABAJO DE GRADO (1)
FISI4099;TRABAJO DE GRADO (2)
FISI4101;SEMINARIO 1 ALTAS ENERGIAS
FISI4102;SEMINARIO 2 ALTAS ENERGIAS
FISI4161;DETECTORES DE PARTÍCULAS
FISI4163;ASTROFÍSICA DE PARTÍCULAS
FISI4401;SEMINARIO DE OPTICA CUANTICA
FISI4402;SEMINARIO 2 DE OPTICA CUANTICA
FISI4430;ELECTRODINAMICA
FISI4601;SEMINARIO 1 DE GEOFISICA
FISI4602;SEMINARIO 2 DE GEOFISICA
FISI4701;SEMINARIO 1 MATERIA CONDENSADA
FISI4702;SEMINARIO 2 MATERIA CONDENSADA
FISI4801;SEMINARIO 1 DE BIOFISICA
FISI4802;SEMINARIO 2 DE BIOFISICA
FISI4814;MICROSCOPIA MODERNA
FISI4901;SEM.1 ASTRONOMIA Y ASTROFISICA
FISI4902;SEM.2 ASTRONOMIA Y ASTROFISICA
FISI4961;CURSO TUTORIAL I
FISI4998;METODOS ASTROFISICOS AVANZADOS
FISI6111;SEMINARIO AVANZADO 1
FISI6112;SEMINARIO AVANZADO 2
FISI6113;SEMINARIO AVANZADO 3
FISI6114;SEMINARIO AVANZADO 4
FISI6115;SEMINARIO AVANZADO 5
FISI6116;SEMINARIO AVANZADO 6
FISI6117;SEMINARIO AVANZADO 7
FISI6118;SEMINARIO AVANZADO 8
FISI6119;SEMINARIO AVANZADO 9
FISI6201;INVESTIGACION 1
FISI6202;INVESTIGACION 2
FISI6961;CURSO DIRIGIDO I
FISI6962;CURSO DIRIGIDO II
FISI6970;EXAMEN DE CONOCIMIENTOS
FISI6971;PASANTIA
FISI6972;EXAMEN DE CANDIDATURA
FISI6973;PASANTIA II
FISI6974;PASANTIA III
FISI6975;PASANTIA IV
FISI6981;TESIS I
FISI6982;TESIS II
FISI6983;TESIS III
FISI6984;TESIS IV
FISI6985;TESIS V
FISI6986;TESIS VI
FISI6987;TESIS VII
FISI6990;SUSTENTACIÓN DE TESIS
FISI1000C;COMPL. PREFISICA
FISI1004A;GRANDES IDEAS DE LA FISICA
FISI1012C;COMPL. FÍSICA BÁSICA 1
FISI1018C;COMPL. FÍSICA I
FISI1022C;COMPL. FÍSICA BÁSICA 2
FISI1028C;COMPL. FÍSICA II
FISI1038C;COMPL. ONDAS Y FLUIDOS
FISI1048C;COMPL. FÍSICA MODERNA
FISI1060B;SIGLO DE ORO DE LA FÍSICA
FISI1090A;COSMOS: EL UNIVERSO FISICO
FISI1092A;ENERGIA UNA PERSPECTIVA GLOBAL
FISI1612B;FÍSICA PARA FUTUROS PRESIDENTE
FISI1801B;NANOTECNOLOGIA
FISI1912B;MUNDOS LEJANOS
FISI1913B;ASTROBIOLOGÍA: VIDA EN EL UNIV
FISI1916B;ASTRONOMIA POPULAR
FISI3814L;LAB. MICROSCOPIA MODERNA
FISI4814L;LAB. MICROSCOPIA MODERNA
